2023 Mar 23 08:16:13
                     Time,     [ht12]_ppm,  [ht12]_ppm_se,     [ht13]_ppm,  [ht13]_ppm_se,     [ht18]_ppm,  [ht18]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,           d13C,        d13C_se,           d18O,        d18O_se,    [12CO2]_ppm, [12CO2]_ppm_se,    [13CO2]_ppm, [13CO2]_ppm_se,    [18CO2]_ppm, [18CO2]_ppm_se,  [CO2_dry]_ppm,[CO2_dry]_ppm_se,[C12O2_dry]_ppm,[C12O2_dry]_ppm_se,[C13O2_dry]_ppm,[C13O2_dry]_ppm_se,[C18O2_dry]_ppm,[C18O2_dry]_ppm_se,  [CO2_sam]_ppm,[CO2_sam]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,            DCS,         DCS_se,            Gnd,         Gnd_se,         Gndstd,      Gndstd_se,            Sig,         Sig_se,         Sigstd,      Sigstd_se,         LTC0_b,      LTC0_b_se,         LTC0_v,      LTC0_v_se,          Peak0,       Peak0_se,         Xaxis0,      Xaxis0_se,         Xaxis1,      Xaxis1_se,         Xaxis2,      Xaxis2_se,           BL0T,        BL0T_se,           BL1T,        BL1T_se,           BL2F,        BL2F_se,           BL3F,        BL3F_se,     12CO2_0_CT,  12CO2_0_CT_se,     12CO2_0_AT,  12CO2_0_AT_se,     12CO2_0_DF,  12CO2_0_DF_se,     12CO2_0_PF,  12CO2_0_PF_se,     13CO2_1_CT,  13CO2_1_CT_se,     13CO2_1_AT,  13CO2_1_AT_se,     13CO2_1_DF,  13CO2_1_DF_se,     13CO2_1_PF,  13CO2_1_PF_se,       H2O_2_CT,    H2O_2_CT_se,       H2O_2_AT,    H2O_2_AT_se,       H2O_2_DF,    H2O_2_DF_se,       H2O_2_PF,    H2O_2_PF_se, 12C16O18O_3_CF,12C16O18O_3_CF_se, 12C16O18O_3_AT,12C16O18O_3_AT_se, 12C16O18O_3_DF,12C16O18O_3_DF_se, 12C16O18O_3_PF,12C16O18O_3_PF_se,       Fit_Flag,   N_Fits_Avg'd,      MIU_valve,      MIU_desc.
    03/23/23 08:16:52.150,    1.74632e+04,    0.00000e+00,    1.26810e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.33529e+04,    0.00000e+00,    2.01043e+04,    0.00000e+00,   -9.67286e+02,    0.00000e+00,   -8.57779e+02,    0.00000e+00,    2.00851e+04,    0.00000e+00,    7.38358e+00,    0.00000e+00,    1.18178e+01,    0.00000e+00,    2.12374e+04,    0.00000e+00,    2.12171e+04,    0.00000e+00,    7.79972e+00,    0.00000e+00,    1.24839e+01,    0.00000e+00,    2.12374e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46230e+01,    0.00000e+00,    4.44569e+01,    0.00000e+00,    9.93112e+00,    0.00000e+00,    1.00000e+00,    0.00000e+00,   -1.64285e+03,    0.00000e+00,    1.86681e-01,    0.00000e+00,    1.36007e+03,    0.00000e+00,    6.75266e-01,    0.00000e+00,    3.94430e+04,    0.00000e+00,    1.01860e+00,    0.00000e+00,    7.04972e+02,    0.00000e+00,    2.91653e+00,    0.00000e+00,   -7.50523e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.43488e+03,    0.00000e+00,   -6.09247e-02,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.03270e+01,    0.00000e+00,    2.53795e+01,    0.00000e+00,    1.40761e-01,    0.00000e+00,    1.50023e-01,    0.00000e+00,   -1.15302e+01,    0.00000e+00,    1.16914e-01,    0.00000e+00,    1.39162e-01,    0.00000e+00,    2.29129e-01,    0.00000e+00,   -1.67927e+01,    0.00000e+00,    6.82851e-01,    0.00000e+00,    2.19946e-01,    0.00000e+00,    1.76545e-01,    0.00000e+00,    1.40598e+00,    0.00000e+00,   -7.27053e-02,    0.00000e+00,    1.37652e-01,    0.00000e+00,    6.12501e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:53.151,    1.48312e+04,    0.00000e+00,    1.34710e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.13086e+04,    0.00000e+00,    1.70890e+04,    0.00000e+00,   -9.61890e+02,    0.00000e+00,   -8.67328e+02,    0.00000e+00,    1.70723e+04,    0.00000e+00,    7.31116e+00,    0.00000e+00,    9.37104e+00,    0.00000e+00,    1.80132e+04,    0.00000e+00,    1.79956e+04,    0.00000e+00,    7.70657e+00,    0.00000e+00,    9.87786e+00,    0.00000e+00,    1.80132e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46248e+01,    0.00000e+00,    4.44563e+01,    0.00000e+00,    1.00711e+01,    0.00000e+00,    1.00000e+00,    0.00000e+00,   -1.64303e+03,    0.00000e+00,    2.12777e-01,    0.00000e+00,    1.37358e+03,    0.00000e+00,    4.97321e-01,    0.00000e+00,    3.94390e+04,    0.00000e+00,    1.01804e+00,    0.00000e+00,    7.04178e+02,    0.00000e+00,    2.90092e+00,    0.00000e+00,   -7.50295e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.43485e+03,    0.00000e+00,   -4.86409e-02,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.03511e+01,    0.00000e+00,    2.17912e+01,    0.00000e+00,    1.40762e-01,    0.00000e+00,    1.49876e-01,    0.00000e+00,   -1.14768e+01,    0.00000e+00,    1.25561e-01,    0.00000e+00,    1.39163e-01,    0.00000e+00,    2.24551e-01,    0.00000e+00,   -1.67675e+01,    0.00000e+00,    6.63911e-01,    0.00000e+00,    2.19946e-01,    0.00000e+00,    1.76544e-01,    0.00000e+00,    1.45941e+00,    0.00000e+00,   -5.98923e-02,    0.00000e+00,    1.37652e-01,    0.00000e+00,    5.76987e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:54.157,    1.30786e+04,    0.00000e+00,    1.36420e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.11571e+04,    0.00000e+00,    1.50779e+04,    0.00000e+00,   -9.57622e+02,    0.00000e+00,   -8.73618e+02,    0.00000e+00,    1.50629e+04,    0.00000e+00,    7.17315e+00,    0.00000e+00,    7.87634e+00,    0.00000e+00,    1.58909e+04,    0.00000e+00,    1.58750e+04,    0.00000e+00,    7.55989e+00,    0.00000e+00,    8.30099e+00,    0.00000e+00,    1.58909e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46158e+01,    0.00000e+00,    4.44622e+01,    0.00000e+00,    1.01876e+01,    0.00000e+00,    1.00000e+00,    0.00000e+00,   -1.64287e+03,    0.00000e+00,    2.50055e-01,    0.00000e+00,    1.38010e+03,    0.00000e+00,    6.26948e-01,    0.00000e+00,    3.94390e+04,    0.00000e+00,    1.01804e+00,    0.00000e+00,    7.03079e+02,    0.00000e+00,    2.90092e+00,    0.00000e+00,   -7.50295e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.43322e+03,    0.00000e+00,   -4.00268e-02,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.03849e+01,    0.00000e+00,    1.93993e+01,    0.00000e+00,    1.40760e-01,    0.00000e+00,    1.49828e-01,    0.00000e+00,   -1.14099e+01,    0.00000e+00,    1.28373e-01,    0.00000e+00,    1.39161e-01,    0.00000e+00,    2.22944e-01,    0.00000e+00,   -1.67104e+01,    0.00000e+00,    6.68236e-01,    0.00000e+00,    2.19943e-01,    0.00000e+00,    1.76548e-01,    0.00000e+00,    1.52622e+00,    0.00000e+00,   -5.29353e-02,    0.00000e+00,    1.37650e-01,    0.00000e+00,    5.64498e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:55.163,    1.16178e+04,    0.00000e+00,    1.38132e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.11308e+04,    0.00000e+00,    1.34002e+04,    0.00000e+00,   -9.51095e+02,    0.00000e+00,   -8.78379e+02,    0.00000e+00,    1.33861e+04,    0.00000e+00,    7.35639e+00,    0.00000e+00,    6.73631e+00,    0.00000e+00,    1.41223e+04,    0.00000e+00,    1.41074e+04,    0.00000e+00,    7.75280e+00,    0.00000e+00,    7.09930e+00,    0.00000e+00,    1.85880e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46231e+01,    0.00000e+00,    4.43913e+01,    0.00000e+00,    1.02707e+01,    0.00000e+00,    7.60641e-01,    0.00000e+00,   -1.64338e+03,    0.00000e+00,    2.46016e-01,    0.00000e+00,    1.38340e+03,    0.00000e+00,    4.48185e-01,    0.00000e+00,    3.94360e+04,    0.00000e+00,    1.01753e+00,    0.00000e+00,    7.02186e+02,    0.00000e+00,    2.88406e+00,    0.00000e+00,   -7.50078e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.42895e+03,    0.00000e+00,   -3.18611e-02,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04120e+01,    0.00000e+00,    1.73439e+01,    0.00000e+00,    1.40761e-01,    0.00000e+00,    1.49822e-01,    0.00000e+00,   -1.13715e+01,    0.00000e+00,    1.30819e-01,    0.00000e+00,    1.39162e-01,    0.00000e+00,    2.22821e-01,    0.00000e+00,   -1.66812e+01,    0.00000e+00,    6.72228e-01,    0.00000e+00,    2.19946e-01,    0.00000e+00,    1.76545e-01,    0.00000e+00,    1.56464e+00,    0.00000e+00,   -4.83995e-02,    0.00000e+00,    1.37652e-01,    0.00000e+00,    5.63562e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:56.182,    1.03295e+04,    0.00000e+00,    1.39210e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.10325e+04,    0.00000e+00,    1.19194e+04,    0.00000e+00,   -9.42841e+02,    0.00000e+00,   -8.82029e+02,    0.00000e+00,    1.19060e+04,    0.00000e+00,    7.64735e+00,    0.00000e+00,    5.81214e+00,    0.00000e+00,    1.25604e+04,    0.00000e+00,    1.25462e+04,    0.00000e+00,    8.05860e+00,    0.00000e+00,    6.12469e+00,    0.00000e+00,    1.65301e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46178e+01,    0.00000e+00,    4.43998e+01,    0.00000e+00,    1.03318e+01,    0.00000e+00,    7.60641e-01,    0.00000e+00,   -1.64365e+03,    0.00000e+00,    2.03940e-01,    0.00000e+00,    1.38695e+03,    0.00000e+00,    5.86115e-01,    0.00000e+00,    3.94360e+04,    0.00000e+00,    1.01753e+00,    0.00000e+00,    7.02050e+02,    0.00000e+00,    2.88406e+00,    0.00000e+00,   -7.50078e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.42551e+03,    0.00000e+00,   -2.42137e-02,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04145e+01,    0.00000e+00,    1.54873e+01,    0.00000e+00,    1.40760e-01,    0.00000e+00,    1.49823e-01,    0.00000e+00,   -1.13431e+01,    0.00000e+00,    1.32414e-01,    0.00000e+00,    1.39161e-01,    0.00000e+00,    2.22803e-01,    0.00000e+00,   -1.66550e+01,    0.00000e+00,    6.73822e-01,    0.00000e+00,    2.19944e-01,    0.00000e+00,    1.76547e-01,    0.00000e+00,    1.59309e+00,    0.00000e+00,   -4.43998e-02,    0.00000e+00,    1.37651e-01,    0.00000e+00,    5.63408e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:57.189,    9.16171e+03,    0.00000e+00,    1.39845e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.05535e+04,    0.00000e+00,    1.05756e+04,    0.00000e+00,   -9.32168e+02,    0.00000e+00,   -8.85292e+02,    0.00000e+00,    1.05626e+04,    0.00000e+00,    8.05120e+00,    0.00000e+00,    5.01428e+00,    0.00000e+00,    1.11387e+04,    0.00000e+00,    1.11250e+04,    0.00000e+00,    8.47989e+00,    0.00000e+00,    5.28127e+00,    0.00000e+00,    1.46574e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46183e+01,    0.00000e+00,    4.44013e+01,    0.00000e+00,    1.04201e+01,    0.00000e+00,    7.60641e-01,    0.00000e+00,   -1.64335e+03,    0.00000e+00,    2.10821e-01,    0.00000e+00,    1.39153e+03,    0.00000e+00,    4.98072e-01,    0.00000e+00,    3.94330e+04,    0.00000e+00,    1.01702e+00,    0.00000e+00,    7.02154e+02,    0.00000e+00,    2.86760e+00,    0.00000e+00,   -7.49867e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.42343e+03,    0.00000e+00,   -1.68136e-02,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04114e+01,    0.00000e+00,    1.38345e+01,    0.00000e+00,    1.40760e-01,    0.00000e+00,    1.49820e-01,    0.00000e+00,   -1.13391e+01,    0.00000e+00,    1.33967e-01,    0.00000e+00,    1.39161e-01,    0.00000e+00,    2.22725e-01,    0.00000e+00,   -1.66572e+01,    0.00000e+00,    6.72266e-01,    0.00000e+00,    2.19944e-01,    0.00000e+00,    1.76547e-01,    0.00000e+00,    1.59709e+00,    0.00000e+00,   -4.04484e-02,    0.00000e+00,    1.37651e-01,    0.00000e+00,    5.62806e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:58.189,    8.17269e+03,    0.00000e+00,    1.40170e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    5.01112e+04,    0.00000e+00,    9.43676e+03,    0.00000e+00,   -9.19890e+02,    0.00000e+00,   -8.87944e+02,    0.00000e+00,    9.42391e+03,    0.00000e+00,    8.48352e+00,    0.00000e+00,    4.37091e+00,    0.00000e+00,    9.93460e+03,    0.00000e+00,    9.92106e+03,    0.00000e+00,    8.93107e+00,    0.00000e+00,    4.60149e+00,    0.00000e+00,    1.30716e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46139e+01,    0.00000e+00,    4.44030e+01,    0.00000e+00,    1.04766e+01,    0.00000e+00,    7.60641e-01,    0.00000e+00,   -1.64378e+03,    0.00000e+00,    2.74107e-01,    0.00000e+00,    1.39256e+03,    0.00000e+00,    6.90460e-01,    0.00000e+00,    3.94330e+04,    0.00000e+00,    1.01702e+00,    0.00000e+00,    7.02232e+02,    0.00000e+00,    2.86760e+00,    0.00000e+00,   -7.49867e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.41819e+03,    0.00000e+00,   -9.86731e-03,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04073e+01,    0.00000e+00,    1.23921e+01,    0.00000e+00,    1.40759e-01,    0.00000e+00,    1.49810e-01,    0.00000e+00,   -1.13209e+01,    0.00000e+00,    1.34837e-01,    0.00000e+00,    1.39160e-01,    0.00000e+00,    2.22350e-01,    0.00000e+00,   -1.66388e+01,    0.00000e+00,    6.69127e-01,    0.00000e+00,    2.19943e-01,    0.00000e+00,    1.76548e-01,    0.00000e+00,    1.61523e+00,    0.00000e+00,   -3.69956e-02,    0.00000e+00,    1.37650e-01,    0.00000e+00,    5.59884e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:16:59.201,    7.31827e+03,    0.00000e+00,    1.40037e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    4.96416e+04,    0.00000e+00,    8.45233e+03,    0.00000e+00,   -9.06303e+02,    0.00000e+00,   -8.90008e+02,    0.00000e+00,    8.43960e+03,    0.00000e+00,    8.88595e+00,    0.00000e+00,    3.84284e+00,    0.00000e+00,    8.89384e+03,    0.00000e+00,    8.88044e+03,    0.00000e+00,    9.35011e+00,    0.00000e+00,    4.04357e+00,    0.00000e+00,    1.17012e+04,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46168e+01,    0.00000e+00,    4.43919e+01,    0.00000e+00,    1.05376e+01,    0.00000e+00,    7.60641e-01,    0.00000e+00,   -1.64321e+03,    0.00000e+00,    2.11899e-01,    0.00000e+00,    1.39443e+03,    0.00000e+00,    5.71059e-01,    0.00000e+00,    3.94300e+04,    0.00000e+00,    1.01655e+00,    0.00000e+00,    7.00710e+02,    0.00000e+00,    2.85000e+00,    0.00000e+00,   -7.49661e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.41415e+03,    0.00000e+00,   -3.51052e-03,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04535e+01,    0.00000e+00,    1.11491e+01,    0.00000e+00,    1.40760e-01,    0.00000e+00,    1.49798e-01,    0.00000e+00,   -1.12688e+01,    0.00000e+00,    1.35345e-01,    0.00000e+00,    1.39161e-01,    0.00000e+00,    2.22000e-01,    0.00000e+00,   -1.65912e+01,    0.00000e+00,    6.66006e-01,    0.00000e+00,    2.19944e-01,    0.00000e+00,    1.76547e-01,    0.00000e+00,    1.66738e+00,    0.00000e+00,   -3.32788e-02,    0.00000e+00,    1.37651e-01,    0.00000e+00,    5.57174e-01,    0.00000e+00,              3,              1,              4,           unk4
    03/23/23 08:17:00.207,    6.54836e+03,    0.00000e+00,    1.39943e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    4.90121e+04,    0.00000e+00,    7.56489e+03,    0.00000e+00,   -8.90001e+02,    0.00000e+00,   -8.91729e+02,    0.00000e+00,    7.55217e+03,    0.00000e+00,    9.33512e+00,    0.00000e+00,    3.38557e+00,    0.00000e+00,    7.95477e+03,    0.00000e+00,    7.94139e+03,    0.00000e+00,    9.81624e+00,    0.00000e+00,    3.56005e+00,    0.00000e+00,    9.71113e+03,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46161e+01,    0.00000e+00,    4.43951e+01,    0.00000e+00,    1.06054e+01,    0.00000e+00,    8.19515e-01,    0.00000e+00,   -1.64333e+03,    0.00000e+00,    1.94473e-01,    0.00000e+00,    1.39683e+03,    0.00000e+00,    4.60872e-01,    0.00000e+00,    3.94300e+04,    0.00000e+00,    1.01655e+00,    0.00000e+00,    7.00013e+02,    0.00000e+00,    2.85000e+00,    0.00000e+00,   -7.49661e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.41122e+03,    0.00000e+00,    2.37577e-03,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04716e+01,    0.00000e+00,    1.00301e+01,    0.00000e+00,    1.40760e-01,    0.00000e+00,    1.49786e-01,    0.00000e+00,   -1.12290e+01,    0.00000e+00,    1.35985e-01,    0.00000e+00,    1.39161e-01,    0.00000e+00,    2.21630e-01,    0.00000e+00,   -1.65510e+01,    0.00000e+00,    6.61109e-01,    0.00000e+00,    2.19943e-01,    0.00000e+00,    1.76548e-01,    0.00000e+00,    1.70715e+00,    0.00000e+00,   -2.98464e-02,    0.00000e+00,    1.37651e-01,    0.00000e+00,    5.54304e-01,    0.00000e+00,              3,              1,              5,           unk5
    03/23/23 08:17:01.216,    5.89623e+03,    0.00000e+00,    1.39525e+01,    0.00000e+00,   -1.00000e-06,    0.00000e+00,    4.83876e+04,    0.00000e+00,    6.81307e+03,    0.00000e+00,   -8.72212e+02,    0.00000e+00,   -8.92453e+02,    0.00000e+00,    6.80027e+03,    0.00000e+00,    9.76506e+00,    0.00000e+00,    3.02871e+00,    0.00000e+00,    7.15950e+03,    0.00000e+00,    7.14606e+03,    0.00000e+00,    1.02616e+01,    0.00000e+00,    3.18271e+00,    0.00000e+00,    8.73987e+03,    0.00000e+00,    5.16501e+01,    0.00000e+00,    4.46045e+01,    0.00000e+00,    4.44654e+01,    0.00000e+00,    1.06301e+01,    0.00000e+00,    8.19515e-01,    0.00000e+00,   -1.64296e+03,    0.00000e+00,    1.66827e-01,    0.00000e+00,    1.39880e+03,    0.00000e+00,    5.58629e-01,    0.00000e+00,    3.94260e+04,    0.00000e+00,    1.01608e+00,    0.00000e+00,    7.00258e+02,    0.00000e+00,    2.83215e+00,    0.00000e+00,   -7.49457e-02,    0.00000e+00,    4.48339e-01,    0.00000e+00,    1.40862e+03,    0.00000e+00,    7.93225e-03,    0.00000e+00,    1.23080e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.04641e+01,    0.00000e+00,    9.04437e+00,    0.00000e+00,    1.40757e-01,    0.00000e+00,    1.49775e-01,    0.00000e+00,   -1.12346e+01,    0.00000e+00,    1.35786e-01,    0.00000e+00,    1.39158e-01,    0.00000e+00,    2.21139e-01,    0.00000e+00,   -1.65570e+01,    0.00000e+00,    6.53610e-01,    0.00000e+00,    2.19939e-01,    0.00000e+00,    1.76552e-01,    0.00000e+00,    1.70157e+00,    0.00000e+00,   -2.69718e-02,    0.00000e+00,    1.37648e-01,    0.00000e+00,    5.50470e-01,    0.00000e+00,              3,              1,              5,           unk5
